Metric,Value
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.222302
timing__hold__ws__corner:max_tt_025C_1v80,1.848299
timing__setup__ws__corner:max_tt_025C_1v80,2.192835
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0.0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_nets__count__corner:max_tt_025C_1v80,33
timing__unannotated_nets_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,5122
design__max_fanout_violation__count__corner:max_ss_100C_1v60,130
design__max_cap_violation__count__corner:max_ss_100C_1v60,1227
clock__skew__worst_hold__corner:max_ss_100C_1v60,0.419197
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.419197
timing__hold__ws__corner:max_ss_100C_1v60,0.888188
timing__setup__ws__corner:max_ss_100C_1v60,-0.118285
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,-4.182666
timing__hold__wns__corner:max_ss_100C_1v60,0.0
timing__setup__wns__corner:max_ss_100C_1v60,-0.118285
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,64
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_nets__count__corner:max_ss_100C_1v60,33
timing__unannotated_nets_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,19
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,130
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,0.172575
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.172575
timing__hold__ws__corner:max_ff_n40C_1v95,2.257179
timing__setup__ws__corner:max_ff_n40C_1v95,3.111773
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0.0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_nets__count__corner:max_ff_n40C_1v95,33
timing__unannotated_nets_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_nets__count,33
timing__unannotated_nets_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79847
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,0.000207234
